order_id,date,region/locale,distribution channel,product,age_group,quantity,unit_price,revenue
ORD-100000,2026-11-07,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,2,26.73,53.46
ORD-100001,2026-12-06,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,4,38.33,153.32
ORD-100002,2026-04-23,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,18-25,2,22.54,45.08
ORD-100003,2026-07-23,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,3,38.15,114.45
ORD-100004,2026-11-02,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,2,43.3,86.6
ORD-100005,2026-08-05,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,1,42.29,42.29
ORD-100006,2026-05-31,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,1,63.05,63.05
ORD-100007,2026-08-06,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,42.36,42.36
ORD-100008,2026-11-01,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,2,42.35,84.7
ORD-100009,2026-12-25,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,1,24.19,24.19
ORD-100010,2026-06-18,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,2,24.47,48.94
ORD-100011,2026-12-27,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,2,54.94,109.88
ORD-100012,2026-09-08,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,36-45,1,43.47,43.47
ORD-100013,2026-04-12,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,56-65,1,45.97,45.97
ORD-100014,2026-12-03,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,36-45,2,26.75,53.5
ORD-100015,2026-02-06,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,2,45.71,91.42
ORD-100016,2026-04-22,East,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,46-55,2,24.33,48.66
ORD-100017,2026-10-18,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,36-45,1,59.98,59.98
ORD-100018,2026-11-04,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,1,59.98,59.98
ORD-100019,2026-02-10,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,66+,1,53.96,53.96
ORD-100020,2026-10-07,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,18-25,3,36.86,110.58
ORD-100021,2026-11-09,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,56-65,2,58.57,117.14
ORD-100022,2027-02-01,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,18-25,4,58.99,235.96
ORD-100023,2026-06-07,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,1,55.71,55.71
ORD-100024,2026-03-03,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,26-35,2,43.08,86.16
ORD-100025,2026-10-07,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,24.24,24.24
ORD-100026,2026-03-22,Midwest,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product A,26-35,1,23.69,23.69
ORD-100027,2026-02-28,South,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product B,46-55,2,40.67,81.34
ORD-100028,2026-06-08,North,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,46-55,1,61.35,61.35
ORD-100029,2026-06-08,West,"['Web Service', 'Mobile', 'In Store', 'Retail', 'Delivery']",Product C,26-35,2,53.33,106.66
