address_id,customer_id,city,country
A001,C001,Toronto,Canada
A002,C002,Markham,Canada
A003,C003,Vancouver,Canada
A004,C004,Montreal,Canada
A005,C005,Calgary,Canada
A006,C006,Ottawa,Canada
A007,C007,Richmond,Canada
A008,C008,Edmonton,Canada
A009,C009,Burnaby,Canada
A010,C010,Mississauga,Canada
A011,C011,Waterloo,Canada
A012,C012,Hamilton,Canada
A013,C013,Surrey,Canada
A014,C014,Winnipeg,Canada
A015,C015,Quebec City,Canada
A016,C016,London,Canada
A017,C017,Kitchener,Canada
A018,C018,Halifax,Canada
A019,C019,Victoria,Canada
A020,C020,Regina,Canada
